id,plec,miasto_kat,wojewodztwo,domena_kat,wiek,IPA,IPB,wynik,typ_adresu,wybory,poczta,data,
"708617","k","miasto_woj154","woj2","domena_kat24","36","ipA21","ipB4764","nie","mieszkanie","wybory294","r004","2014-11-12",
"1652978","k","miasto_woj154","woj38","domena_kat9","41","ipA3","ipB2254","tak","wiezowiec","wybory374","c008","2014-11-12",
"3695762","m","miasto_woj154","woj20","domena_kat10","59","ipA7","ipB2534","nie","mieszkanie","wybory382","r019","2014-11-11",
"3151453","k","miasto_woj154","woj40","domena_kat17","41","ipA21","ipB4385","nie","mieszkanie","wybory176","r002","2014-11-13",
"857002","k","miasto_woj154","woj32","domena_kat9","22","ipA17","ipB1500","nie","mieszkanie","wybory270","r009","2014-11-12",
"775812","m","miasto_woj154","woj1","domena_kat9","44","ipA14","ipB1144","nie","wiezowiec","wybory1","c100","2014-11-12",
"3439099","k","miasto_woj154","woj2","domena_kat9","43","ipA7","ipB167","nie","mieszkanie","wybory345","r009","2014-11-11",
"1684426","m","miasto_woj154","woj2","domena_kat24","34","ipA17","ipB150","nie","mieszkanie","wybory2","r006","2014-11-12",
"4720992","k","miasto_woj162","woj11","domena_kat9","27","ipA12","ipB1159","nie","wiezowiec","wybory104","c067","2014-11-11",
"353750",,"miasto_woj154","woj8","domena_kat10","46","ipA2","ipB1021","nie","mieszkanie","wybory27","c060","2014-11-12",
"3794530","m","miasto_woj154","woj1","domena_kat1","33","ipA29","ipB2776","nie","wiezowiec","wybory20","c016","2014-11-11",
"4878297","m","miasto_woj59","woj30","domena_kat10","34","ipA14","ipB5475","nie",,,,"2014-11-11",
"3158788","k","miasto_woj154","woj47","domena_kat9","68","ipA26","ipB950","nie","mieszkanie","wybory399","c021","2014-11-13",
"841888","m","miasto_woj154","woj48","domena_kat9","46","ipA13","ipB726","nie","mieszkanie","wybory299","c009","2014-11-12",
"569398","m","miasto_woj154","woj30","domena_kat9","56","ipA22","ipB2392","nie","skrzynka","wybory117","b012","2014-11-12",
"3881683","k","miasto_woj154","woj1","domena_kat19","71","ipA17","ipB912","nie","mieszkanie","wybory390","r001","2014-11-11",
"4849827","k","miasto_woj154","woj12","domena_kat24","28","ipA3","ipB1000","nie","mieszkanie","wybory49","c017","2014-11-11",
"2548356","k","miasto_woj138","woj19","domena_kat5","61","ipA24","ipB457","nie",,,,"2014-11-13",
"778204",,"miasto_woj154","woj17","domena_kat9",,"ipA61","ipB858","nie",,,,"2014-11-12",
"3378698",,"miasto_woj154","woj17","domena_kat10",,"ipA20","ipB2667","nie",,,,"2014-11-13",
"489680","k","miasto_woj154","woj9","domena_kat2","70","ipA2","ipB5710","nie","mieszkanie","wybory207","c017","2014-11-12",
"3304201","m","miasto_woj154","woj23","domena_kat9","31","ipA22","ipB2330","tak","skrzynka","wybory40","b021","2014-11-13",
"3175379","m","miasto_woj154","woj11","domena_kat24","43","ipA1","ipB3088","nie","mieszkanie","wybory304","r046","2014-11-13",
"4632265","k","miasto_woj154","woj4","domena_kat8","52","ipA26","ipB2206","nie","mieszkanie","wybory360","r004","2014-11-11",
"4096299","k","miasto_woj154","woj6","domena_kat9","24","ipA19","ipB1170","nie","mieszkanie","wybory397","r007","2014-11-11",
"1597156","k","miasto_woj184","woj33","domena_kat9","36","ipA22","ipB1354","nie","wiezowiec","wybory188","c008","2014-11-12",
"2921938",,"miasto_woj33","woj15","domena_kat9",,"ipA72","ipB7567","nie",,,,"2014-11-13",
"10176",,"miasto_woj166","woj42","domena_kat9",,"ipA26","ipB1186","nie",,,,"2014-11-12",
"1581721","k","miasto_woj154","woj18","domena_kat24","43","ipA22","ipB2108","nie",,,,"2014-11-12",
"4542495","k","miasto_woj154","woj14","domena_kat9",,"ipA22","ipB155","nie","mieszkanie","wybory267","c014","2014-11-11",
"837290","m","miasto_woj154","woj5","domena_kat24","49","ipA12","ipB4317","nie","skrzynka","wybory5","b004","2014-11-12",
"1678340",,"miasto_woj154","woj17","domena_kat9",,"ipA11","ipB367","nie",,,,"2014-11-12",
"1761485","k","miasto_woj154","woj33","domena_kat24","37","ipA17","ipB1718","nie","mieszkanie","wybory188","c002","2014-11-12",
"1328992","k","miasto_woj154","woj5","domena_kat9","32","ipA7","ipB167","tak","mieszkanie","wybory133","r005","2014-11-12",
"4712322",,"miasto_woj224","woj51","domena_kat9",,"ipA17","ipB2399","nie",,,,"2014-11-11",
"4478695","k","miasto_woj154","woj38","domena_kat17","51","ipA26","ipB1687","nie","mieszkanie","wybory370","r022","2014-11-11",
"2853409","m","miasto_woj154","woj14","domena_kat24","51","ipA26","ipB2484","nie","mieszkanie","wybory368","c006","2014-11-13",
"4610893","k","miasto_woj106","woj12","domena_kat24","22","ipA2","ipB873","nie","mieszkanie","wybory409","c022","2014-11-11",
"4526645","k","miasto_woj154","woj41","domena_kat24","30","ipA30","ipB1104","nie","mieszkanie","wybory292","r003","2014-11-11",
"3035540","k","miasto_woj154","woj32","domena_kat24","26","ipA27","ipB733","nie","mieszkanie","wybory152","r003","2014-11-13",
"2959352","k","miasto_woj154","woj48","domena_kat3","73","ipA29","ipB2963","nie","mieszkanie","wybory222","r802","2014-11-13",
"2544630",,"miasto_woj154","woj17","domena_kat1",,"ipA28","ipB2439","nie",,,,"2014-11-13",
"2930283","k","miasto_woj154","woj17","domena_kat10","65","ipA3","ipB1868","nie",,,,"2014-11-13",
"4492554",,"miasto_woj154","woj1","domena_kat17",,"ipA4","ipB4","nie",,,,"2014-11-11",
"3115144","m","miasto_woj154","woj3","domena_kat9","60","ipA29","ipB543","nie","mieszkanie","wybory254","r018","2014-11-13",
"4532516","k","miasto_woj35","woj1","domena_kat9","58","ipA1","ipB22","nie","mieszkanie","wybory340","c093","2014-11-11",
"3696058","k","miasto_woj128","woj8","domena_kat3","53","ipA6","ipB6","nie","mieszkanie","wybory95","c021","2014-11-11",
"2288872",,"miasto_woj154","woj32","domena_kat13",,"ipA19","ipB1132","nie","mieszkanie","wybory210","r003","2014-11-13",
"3271510","k","miasto_woj154","woj42","domena_kat9","58","ipA1","ipB162","nie","skrzynka","wybory241","b003","2014-11-13",
"1355505","m","miasto_woj98","woj5","domena_kat11","29","ipA32","ipB3138","nie","wiezowiec","wybory205","c006","2014-11-12",
"2613654","k","miasto_woj154","woj10","domena_kat24","59","ipA11","ipB246","nie",,,,"2014-11-13",
"2030560","m","miasto_woj108","woj14","domena_kat24","44","ipA15","ipB17","nie","mieszkanie","wybory228","c051","2014-11-13",
"1967486","k","miasto_woj154","woj3","domena_kat24","59","ipA6","ipB286","nie","mieszkanie","wybory319","c001","2014-11-13",
