id,plec,miasto_kat,wojewodztwo,domena_kat,wiek,IPA,IPB,wynik,typ_adresu,wybory,poczta,data,
"2477990",,"miasto_woj154","woj17","domena_kat9",,"ipA26","ipB1243","nie",,,,"2014-11-13",
"2844340",,"miasto_woj154","woj17","domena_kat15",,"ipA7","ipB2252","nie",,,,"2014-11-13",
"1374707","k","miasto_woj154","woj5","domena_kat17","73","ipA44","ipB736","tak",,,,"2014-11-12",
"3515770","m","miasto_woj154","woj12","domena_kat17","21","ipA2","ipB3838","nie","mieszkanie","wybory430","c003","2014-11-11",
"4489905",,"miasto_woj154","woj32","domena_kat24",,"ipA14","ipB3403","nie",,,,"2014-11-11",
"2552041",,"miasto_woj154","woj17","domena_kat1",,"ipA14","ipB1957","nie",,,,"2014-11-13",
"3498931","k","miasto_woj154","woj21","domena_kat24","52","ipA32","ipB4207","nie","skrzynka","wybory190","b011","2014-11-11",
"216902",,"miasto_woj154","woj17","domena_kat17",,"ipA30","ipB1616","nie",,,,"2014-11-12",
"2759268","k","miasto_woj154","woj21","domena_kat24","39","ipA16","ipB905","nie","wiezowiec","wybory421","r003","2014-11-13",
"2715951","k","miasto_woj156","woj12","domena_kat9","45","ipA3","ipB1810","nie","mieszkanie","wybory409","r012","2014-11-13",
"889894",,"miasto_woj154","woj17","domena_kat18",,"ipA64","ipB5692","nie",,,,"2014-11-12",
"4002227","k","miasto_woj154","woj12","domena_kat1",,"ipA22","ipB1063","nie","wiezowiec","wybory182","c004","2014-11-11",
"3298665","k","miasto_woj145","woj16","domena_kat6","61","ipA17","ipB1948","tak",,,,"2014-11-13",
"298959",,"miasto_woj154","woj17","domena_kat3",,"ipA17","ipB825","nie",,,,"2014-11-12",
"517891",,"miasto_woj154","woj17","domena_kat10",,"ipA13","ipB131","nie",,,,"2014-11-12",
"1942575","k","miasto_woj183","woj42","domena_kat9","33","ipA13","ipB369","nie","mieszkanie","wybory161","c012","2014-11-13",
"4033255",,"miasto_woj154","woj17","domena_kat17",,"ipA14","ipB2178","nie",,,,"2014-11-11",
"349018","k","miasto_woj154","woj46","domena_kat9","46","ipA24","ipB103","nie","skrzynka","wybory208","b006","2014-11-12",
"430489","k","miasto_woj154","woj33","domena_kat9","64","ipA20","ipB3331","tak",,,,"2014-11-12",
"501403",,"miasto_woj123","woj42","domena_kat4","54","ipA13","ipB1617","nie","mieszkanie","wybory241","c039","2014-11-12",
"2400286",,"miasto_woj154","woj17","domena_kat24",,"ipA26","ipB1862","nie",,,,"2014-11-13",
"4294830",,"miasto_woj154","woj17","domena_kat17",,"ipA7","ipB1916","nie",,,,"2014-11-11",
"2647601",,"miasto_woj154","woj12","domena_kat9",,"ipA31","ipB109","nie",,,,"2014-11-13",
"2843680",,"miasto_woj154","woj17","domena_kat9",,"ipA14","ipB2163","nie",,,,"2014-11-13",
"916701",,"miasto_woj154","woj17","domena_kat15",,"ipA19","ipB507","nie",,,,"2014-11-12",
"844115","k","miasto_woj154","woj41","domena_kat24",,"ipA3","ipB2767","nie","skrzynka","wybory150","b023","2014-11-12",
"971519","k","miasto_woj154","woj10","domena_kat17","54","ipA24","ipB2489","tak",,,,"2014-11-12",
